Free,Free,Free,Free,Free,Free,"CSE 2nd year 2nd semester B section
CSE - 2821 Digital Electronics & p.
CSE - 7019 B",Free
Free,Free,Free,Free,Free,Free,Free,Free
Free,Free,Free,Free,Free,Free,Free,Free
"CSE 2nd year 2nd semester B section
CSE - 2822 Digital Elc. & P. T. S.
Digital Lab","CSE 2nd year 2nd semester B section
CSE - 2822 Digital Elc. & P. T. S.
Digital Lab","CSE 2nd year 2nd semester B section
CSE - 2822 Digital Elc. & P. T. S.
Digital Lab",Free,Free,Free,Free,Free
Free,Free,Free,Free,Free,Free,Free,Free
